numero_atomique,symbole,nom,famille_d_element,masse_atomique,point_de_fusion_[°C],point_d_ebullition_[°C],date_de_decouverte,decouvert_par,description
11,Na,sodium,alcalin,"22,98976928","97,794","882,94",1807,Humphry Davy,"Le sodium est depuis longtemps reconnu dans les composés, mais il ne fut pas isolé avant 1807. Comme les autres métaux alcalins, le sodium a un aspect doux, blanc argenté, légèrement rosé. C'est un élément très réactif ; en particulier il s'oxyde lentement à l'air humide et réagit violemment avec l'eau."
12,Mg,magnésium,alcalino-terreux,"24,305","649,85","1089,85",1755,Joseph Black,"Le magnésium est le neuvième élément le plus abondant de l'univers. Il est le produit, dans de grandes étoiles vieillissantes, de l'addition séquentielle de trois noyaux d'hélium à un noyau carboné. C'est le troisième élément le plus abondant dissous dans l'eau de mer, après le sodium et le chlore."
13,Al,aluminium,métal de post-transition,"26,98153857","660,32","2469,85",1825,Hans Christian Orsted,"Le corps simple aluminium est un métal malléable, argenté, peu altérable à l'air et peu dense. C'est le métal le plus abondant de l'écorce terrestre et le troisième élément le plus abondant après l'oxygène et le silicium. Le métal mis à nu s'auto-passive immédiatement par oxydation avec une couche d'alumine Al2O3 imperméable épaisse de quelques nanomètres."
14,Si,silicium,metalloïde,"28,085","1413,85","3264,85",1824,Jöns Jacob Berzelius,"Le silicium est le deuxième élément le plus abondant dans la croûte terrestre après l'oxygène, et constitue 25,7% de sa masse. En revanche il n'est présent qu'en relativement faible quantité dans la matière constituant le vivant. Il n'existe pas dans la nature à l'état de corps simple mais sous forme de composés, le dioxyde de silicium (SiO2 - quartz du granite...) et de nombreux silicates (feldspaths, kaolinite, etc)."
15,P,phosphore,autre non-métal,"30,973762","44,1","280,5",1669,Hennig Brand,"Son nom vient du grec ancien phosphoros, « porteur de lumière », du fait de la chimiluminescence du phosphore blanc, visible dans l'obscurité. Le corps simple se présente sous des formes différentes avec des couleurs allant du violet-noir, rouge, blanc-jaune au blanc. Il est indispensable à tous les êtres vivants sur terre, notamment pour le fonctionnement cérébral chez l'Homme."
16,S,soufre,autre non-métal,"32,06","115,21","444,65",-200,Ancient china,"Le corps simple, insipide et insoluble dans l'eau, est surtout connu sous la forme de cristaux jaunes. Dans l'industrie chimique, le soufre sert principalement à préparer l'acide sulfurique pour la production d'engrais (sulfates) et de produits phytosanitaires fongicides."
17,Cl,chlore,halogène,"35,45","-101,55","-34,04",1774,Carl Wilhelm Scheele,"Son nom lui vient du grec chloros qui signifie vert pâle, sa couleur de l'élément chimique pur. Le chlore est abondant dans la nature, son dérivé le plus important est le sel de table ou chlorure de sodium (NaCl). A l'état de corps simple, le dichlore (Cl2) est un gaz extrêmement toxique qui a une odeur suffocante. L'ion hypochlrorite (HCl) est présent dans l'eau de Javel."
18,Ar,argon,gaz noble,"39,9481","-189,34","-185,848",1894,Lord Rayleigh,"L'argon est le troisième constituant le plus abondant de l'atmosphère terrestre. Le nom argon provient du grec ancien « oisif, paresseux » du fait que cet élément est chimiquement inerte."
19,K,potassium,alcalin,"39,09831","63,55","758,85",1807,Humphry Davy,"Le potassium est un solide mou que l'on peut couper facilement à l’aide d’un couteau. Comme les autres métaux alcalins, l’eau se décompose à son contact avec formation de dihydrogène qui peut s'enflammer voire détonner. Ses sels émettent une couleur violette lorsqu’ils sont exposés à une flamme."
20,Ca,calcium,alcalino-terreux,"40,0784","841,85","1483,85",1808,Humphry Davy,"C'est le cinquième élément le plus abondant de la croûte terrestre (plus de 3%). Il est vital pour de nombreuses espèces : formation des os, des dents et des coquilles (il compose 1 à 2% du poids du corps humain d'un adulte)."
21,Sc,scandium,métal de transition,"44,9559085","1540,85","2835,85",1879,Lars Fredrik Nilson,"Le scandium est un élément métallique mou, rare, trivalent, très léger qui devient jaunâtre ou rose lorsqu'il est exposé à l'air. En ajoutant de l'iodure de scandium dans une lampe à halogénure métallique, on obtient une source de lumière spectralement comparable au Soleil qui est utilisé comme source lumineuse pour la vidéo de nuit ou en intérieur. Il est aussi utilisé dans des alliages avec l'aluminium."
22,Ti,titane,métal de transition,"47,8671","1667,85","3286,85",1791,William Gregor,"Le corps pur titane est un métal léger, résistant, d'aspect blanc métallique, qui résiste à la corrosion. Il est principalement utilisé dans les alliages légers et résistants, et son oxyde est utilisé comme pigment blanc. Il est biocompatible et permet donc de l'utiliser pour des prothèses orthopédiques."
23,V,vanadium,métal de transition,"50,94151","1909,85","3406,85",1801,Andrés Manuel del Río,"Le vanadium est un métal blanc, brillant, dur et ductile. Il possède une bonne résistance à la corrosion par les composés alcalins, ainsi qu'aux acides chlorhydrique et sulfurique."
24,Cr,chrome,métal de transition,"51,99616","1906,85","2670,85",1797,Louis Nicolas Vauquelin,"Il se forme à température ambiante une couche d'oxyde entravant souvent les réactions chimiques destructrices. Les utilisations du chrome métal sont variées. Le ferrochrome, matière intermédiaire déjà présentée, est l'intermédiaire classique pour la fabrication des aciers spéciaux, comme les aciers inoxydables, les aciers au Cr et Ni, etc."
25,Mn,manganèse,métal de transition,"54,9380443","1245,85","2060,85",1774,Torbern Olof Bergman,"Plus d'une quinzaine de millions de tonnes de cet élément sont produits chaque année, pour être utilisé dans l'industrie ou l'agriculture. Dans l'industrie, le manganèse sert principalement d'élément d'alliage aux métaux ferreux ou non-ferreux, et contribue à améliorer les propriétés. En agriculture, en raison de son rôle d'oligo-élément, le manganèse est utilisé pour enrichir les sols qui en manquent."
26,Fe,fer,métal de transition,"55,8452","1537,85","2860,85",-5000,-,"Le fer est le 6e élément le plus commun dans l'Univers, il est formé comme « élément final » de fusion nucléaire, par fusion du silicium dans les étoiles massives. Tandis qu'il compose environ 5% en masse de la croûte terrestre, le noyau terrestre est censé être en grande partie un alliage de fer-nickel, constituant ainsi 35% de la masse de la Terre dans son ensemble."
27,Co,cobalt,métal de transition,"58,9331944","1494,85","2926,85",1735,Georg Brandt,"Le cobalt est utilisé comme pigment pour le verre (depuis l'antiquité), la céramique, les peintures, les encres, etc. et - avec le nickel - dans les batteries et piles rechargeables, ou comme catalyseurs ainsi que pour divers usages dans le domaine de l'électronique ou des alliages et du traitement de surface."
28,Ni,nickel,métal de transition,"58,69344","1454,85","2729,85",1751,Axel Fredrik Cronstedt,"Le corps simple nickel est un métal ; à l'état solide, il est ferromagnétique. Longtemps confondu avec l'argent ou le cuivre, le nickel est aujourd'hui utilisé pour la confection de monnaie et en alliage dans l'industrie."
29,Cu,cuivre,métal de transition,"63,5463","1084,62","2561,85",-9000,Moyen-Orient,"Le cuivre (à faible dose) est essentiel au développement de toute forme de vie. Il est majoritairement utilisé par l'Homme sous forme de métal. Le cuivre pur est un des seuls métaux colorés avec l'or et le césium (rouge, rougeâtre ou orangée), il possède une exceptionnelle conductivité thermique et électrique. Il est résistant à la corrosion atmosphérique et marine."
30,Zn,zinc,métal de transition,"65,382","419,53","906,85",1746,Inde,"L'utilisation du zinc pour le zincage du fer par bain liquide de Zn fondu ou par galvanisation (dépôts d'électrolyse), comme matériau en feuille ou plaque de couverture ou pour système d'évacuation d'eaux de pluie, a permis l'essor de l'architecture de fer, ainsi les halles centrales de Paris, le palais de l'industrie, les nombreux théâtres et gares monumentales de chemin de fer entre 1860 et 1880. Encore dans les années 1980, la moitié du zinc employé dans le monde servait à protéger le fer, aisément dégradé par la corrosion."
33,As,arsenic,metalloïde,"74,9215956",613,-,1250,Albert le Grand,"C'est un élément hautement toxique et un polluant. Au XVIIe siècle l'arsenic va être utilisé comme poison sous le nom de « poudre de succession » par un réseau composé essentiellement de femmes de la noblesse dans le but d'accélérer certains héritages par des meurtres. De nos jours, il est utilisé dans des herbicides et des pesticides."
34,Se,sélénium,autre non-métal,"78,9718","220,85","684,85",1817,Jöns Jakob Berzelius,"Le sélénium est un oligoélément et un bioélément, mais à très faible dose. Il est toxique (voire très toxique sous certaines formes) à des concentrations à peine plus élevées que celles qui en font un oligoélément indispensable au régime animal."
35,Br,brome,halogène,"79,904","-7,35","58,85",1826,Antoine Jérôme Balard,"Le corps simple brome, de formule chimique Br2 (dibrome), est un liquide de couleur brunâtre mais dans la nature, on le trouve le plus souvent sous forme de bromure. La demande mondiale en brome a été dopée par son usage croissant dans certains pesticides, additifs de carburants, huiles de forage, biocides mais surtout dans les retardateurs de flamme."
36,Kr,krypton,gaz noble,"83,7982","-157,37","-153,22",1898,William Ramsay,"L'une de ses propriétés physiques, la longueur d'onde de la raie spectrale orange de l'isotope 86Kr, a servi à définir le mètre de 1960 jusqu'en 1983 comme valant 1 650 763,73 fois cette longueur d'onde dans le vide."
47,Ag,argent,métal de transition,"107,86822","961,78","2161,85",-5000,-,"Ce métal précieux, malléable et très ductile, est blanc et brillant, comme le rappelle son nom. Dédié à la Lune ou à la déesse lunaire Artémis/Diane, il figure depuis l'Antiquité parmi les sept métaux sacrés. Il est connu par la fabrication multi-millénaire de bijoux, de monnaies, ainsi que pour ses applications industrielles croissantes au XXe siècle."
48,Cd,cadmium,métal de transition,"112,4144","321,07","766,85",1817,Karl Samuel Leberecht Hermann,"Le corps simple cadmium est un métal blanc argent brillant, légèrement bleuté, tendre et mou, très malléable et ductile, avec un éclat blanc d'étain. Il est plus mou que le zinc et l'étain. C'est un élément toxique et écotoxique, parmi les plus problématiques sur le plan de la santé environnementale parmi les éléments traces métalliques et métaux lourds."
50,Sn,étain,métal de post-transition,"118,7107","231,93","2601,85",-3500,-,"L'étain est connu dès l'Antiquité, où il servait à protéger la vaisselle de l'oxydation et pour préparer le bronze. Il est toujours utilisé pour cet usage, et pour le brasage. Cet élément est peu toxique. Rare à l'état natif, l'étain est essentiellement extrait d'un minéral appelé cassitérite où il se trouve sous forme d'oxyde SnO2."
51,Sb,antimoine,metalloïde,"121,7601","630,63","1634,85",-3500,-,"Le corps simple antimoine est un métalloïde polymorphe, toxique et cancérigène, tout comme l'arsenic. L'antimoine est aussi un polluant routier et urbain nanoparticulaire du fait de son utilisation dans le monde entier pour remplacer l'amiante dans les patins de freins."
53,I,iode,halogène,"126,904473","113,7","184,25",1811,Bernard Courtois,"C'est l'oligo-élément le plus lourd présent dans la plupart des formes de vie. Sa faible toxicité et sa facile liaison aux composés organiques en font un agent de contraste en radiographie. Chez l'animal et l'homme, l'excès comme la carence en iode sont associés à des pathologies sévères : inhibition de la croissance, apparition de « nodules » de la thyroïde, ou troubles mentaux (ex: crétinisme des Alpes)."
54,Xe,xénon,gaz noble,"131,2936","-111,75","-108,099",1898,William Ramsay,"On extrait le xénon par distillation de l'air. Pour distiller de l'air, il faut le rendre liquide en le compressant (il s'échauffe en restant gazeux, mais en le maintenant compressé et en le refroidissant, il se liquéfie). On peut alors extraire le xénon par distillation fractionnée de l'air devenu liquide."
55,Cs,césium,alcalin,"132,905452","28,55","670,85",1860,Robert Bunsen,"Le corps simple césium est un métal mou et ductile, blanc ou argenté à doré. Il réagit violemment avec l'eau et l'air (réaction explosive). Il est extrêmement réactif et pyrophorique, et réagit avec l'eau même à une température aussi basse que −116 °C."
74,W,tungstène,métal de transition,"183,841","3421,85","5929,85",1783,Carl Wilhelm Scheele,"Le tungstène pur est un métal dur de couleur allant du gris acier au blanc étain. Il connaît nombre d'utilisations, notamment sous forme de carbures (WC) et sous-carbures (W2C), pour les pièces d'usure dans la métallurgie, l'industrie minière et pétrolière. Historiquement, son utilisation a été les filaments des lampes à incandescences en 1904 et les tubes cathodiques des postes de télévision"
78,Pt,platine,métal de transition,"195,0849","1768,25","3824,85",1735,Antonio de Ulloa,"Les qualités du platine en font l'une des huit matières premières stratégiques considérées comme indispensables en temps de guerre. Il s'agit d'un métal noble (avec l'argent et l'or), d'un métal précieux non magnétique (pur), bon conducteur de la chaleur et de l'électricité. Le platine est inattaquable par les bases fortes et acides forts, à l'exception notable de l'eau régale."
79,Au,or,métal de transition,"196,9665695","1064,18","2969,85",-5000,Moyen-Orient,"Le corps simple est un métal dit noble et précieux, Il est dense et très ductile et trouve des applications industrielles en odontologie et en électronique, en raison de sa très bonne tenue face à la corrosion et de son excellente conductivité électrique, mais sa principale utilisation demeure la réserve de valeur par les banques centrales du monde (27 113 tonnes d'or en juin 2010)."
80,Hg,mercure,métal de transition,"200,5923","-38,829","356,73",-1800,-,"Le corps simple mercure est un métal, liquide et peu visqueux dit vif-argent jusqu'au début du XIXe siècle. Il a longtemps été utilisé dans divers médicaments, dans les thermomètres et les batteries, avant d'être interdit car trop toxique. Le mercure est hautement toxique pour le système nerveux, immunitaire, les reins et d'autres organes."
82,Pb,plomb,métal de post-transition,"207,21","327,46","1748,85",-3500,Moyen-Orient,"Le plomb est un contaminant de l'environnement, toxique, mutagène, reprotoxique et écotoxique sans effet de seuil, c'est-à-dire que n'importe quelle quantité de plomb dans le sang a des effets délétères sur l'individu. Les maladies et symptômes qu'il provoque chez l'homme ou l'animal sont regroupés sous le nom de ""saturnisme""."
84,Po,polonium,métal de post-transition,209,"253,85","961,85",1898,Pierre Curie,"C'est le premier élément découvert par Pierre et Marie Skłodowska-Curie, en juillet 1898, au cours de leurs recherches sur la radioactivité de la pechblende à l'ESPCI. Le mot polonium a été ainsi choisi en hommage aux origines polonaises de Marie Curie."
86,Rn,radon,gaz noble,222,"-71,15","-61,65",1900,Friedrich Ernst Dorn,"Le radon n'existe pas sous forme de corps stable et tous ses isotopes connus sont radioactifs. Son isotope le plus stable est le 222Rn, qui a une demi-vie de 3,8 jours et qui a été utilisé en radiothérapie jusque dans les années 1950."
92,U,uranium,actinide,"238,028913","1132,15","4130,85",1789,Martin Heinrich Klaproth,"C'est un métal lourd radioactif de période très longue (~ 4,468 8 milliards d'années pour 238U). Sa radioactivité et celle de ses descendants est la principale source de chaleur avec le thorium 232 et le potassium 40 pour maintenir les hautes températures du manteau terrestre. L'isotope 235U est le seul isotope fissile naturel et est la principale matière première de l'industrie nucléaire."
118,Og,oganesson,non classé,294,-,"76,85",2002,Institut unifié de recherches nucléaires,"Dernier transactinide et, plus largement, dernier élément chimique connu par numéro atomique croissant."
